 Instance     ,Mh,Decoder,Num Runs,Runs,Final objValue,Average objValue,Time Best,Time Total
HEVTSP_1_10_1_TW_0,SA,2,5, 1798.94 1798.94 1798.94 1798.94 1798.94,"1798,9","1798,9","21,593",21594
HEVTSP_1_10_1_TW_1,SA,2,5, 1798.94 1798.94 1798.94 1798.94 1798.94,"1798,9","1798,9","8,038",8038
HEVTSP_1_10_1_TW_2,SA,2,5, 1801.46 1801.46 1801.46 1801.46 1801.46,"1801,5","1801,5","8,731",8731
HEVTSP_1_10_1_TW_3,SA,2,5, 1798.94 1798.94 1798.94 1798.94 1798.94,"1798,9","1798,9","8,299",8299
HEVTSP_1_10_1_TW_4,SA,2,5, 1798.94 1798.94 1798.94 1798.94 1798.94,"1798,9","1798,9","3,693",3694
HEVTSP_1_10_1_TW_5,SA,2,5, 1801.46 1801.46 1801.46 1801.46 1801.46,"1801,5","1801,5","1,806",1806
HEVTSP_1_10_2_TW_0,SA,2,5, 1598.18 1598.18 1598.18 1598.18 1598.18,"1598,2","1598,2","0,902",902
HEVTSP_1_10_2_TW_1,SA,2,5, 1610.65 1610.65 1610.65 1610.65 1610.65,"1610,6","1610,6","1,142",50
HEVTSP_1_10_2_TW_2,SA,2,5, 1610.65 1610.65 1610.65 1610.65 1610.65,"1610,6","1610,6","0,772",50
HEVTSP_1_10_2_TW_3,SA,2,5, 1712743.32 1712743.32 1712743.32 1712743.32 1712743.32,"1712743,3","1712743,3","0,603",50
HEVTSP_1_10_2_TW_4,SA,2,5, 4110743.32 4110743.32 4110743.32 4110743.32 4110743.32,"4110743,3","4110743,3","0,583",50
HEVTSP_1_10_2_TW_5,SA,2,5, 7758743.32 7758743.32 7758743.32 7758743.32 7758743.32,"7758743,3","7758743,3","0,592",50
HEVTSP_1_10_3_TW_0,SA,2,5, 1478.90 1478.90 1478.90 1478.90 1478.90,"1478,9","1478,9","1,748",1748
HEVTSP_1_10_3_TW_1,SA,2,5, 1531.45 1531.45 1531.45 1531.45 1531.45,"1531,4","1531,4","4,949",4949
HEVTSP_1_10_3_TW_2,SA,2,5, 1531.45 1531.45 1531.45 1531.45 1531.45,"1531,4","1531,4","3,747",3747
HEVTSP_1_10_3_TW_3,SA,2,5, 1531.45 1531.45 1531.45 1531.45 1531.45,"1531,4","1531,4","4,022",4022
HEVTSP_1_10_3_TW_4,SA,2,5, 1531.45 1531.45 1531.45 1531.45 1531.45,"1531,4","1531,4","2,497",2497
HEVTSP_1_10_3_TW_5,SA,2,5, 1531.45 1531.45 1531.45 1531.45 1531.45,"1531,4","1531,4","2,628",2628
HEVTSP_2_10_1_TW_0,SA,2,5, 7332.75 7332.75 7336.17 7332.75 7332.75,"7332,8","7333,4","17,851",50
HEVTSP_2_10_1_TW_1,SA,2,5, 7457.46 7488.59 7482.28 7482.28 7457.46,"7457,5","7473,6","13,799",50
HEVTSP_2_10_1_TW_2,SA,2,5, 7547.29 7547.29 7547.29 7547.29 7547.29,"7547,3","7547,3","2,028",50
HEVTSP_2_10_1_TW_3,SA,2,5, 7349.80 7349.80 7349.80 7349.80 7349.80,"7349,8","7349,8","1,695",50
HEVTSP_2_10_1_TW_4,SA,2,5, 7489.67 7489.67 7489.67 7489.67 7489.67,"7489,7","7489,7","2,540",50
HEVTSP_2_10_1_TW_5,SA,2,5, 1074769.39 1074769.39 1074769.39 1074769.39 1074769.39,"1074769,4","1074769,4","0,945",50
HEVTSP_2_10_2_TW_0,SA,2,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","1,742",1742
HEVTSP_2_10_2_TW_1,SA,2,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","1,191",1191
HEVTSP_2_10_2_TW_2,SA,2,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","0,896",896
HEVTSP_2_10_2_TW_3,SA,2,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","0,910","0,91"
HEVTSP_2_10_2_TW_4,SA,2,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","0,934",934
HEVTSP_2_10_2_TW_5,SA,2,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","0,952",952
HEVTSP_2_10_3_TW_0,SA,2,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","2,263",2263
HEVTSP_2_10_3_TW_1,SA,2,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","2,229",2229
HEVTSP_2_10_3_TW_2,SA,2,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","1,869",1869
HEVTSP_2_10_3_TW_3,SA,2,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","1,371",1371
HEVTSP_2_10_3_TW_4,SA,2,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","1,433",1434
HEVTSP_2_10_3_TW_5,SA,2,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","0,859",859
HEVTSP_3_10_1_TW_0,SA,2,5, 12747.47 12747.47 12747.22 12747.47 12747.47,"12747,2","12747,4","26,893",41579
HEVTSP_3_10_1_TW_1,SA,2,5, 12759.24 12759.24 12759.24 12759.24 12759.24,"12759,2","12759,2","8,159",8159
HEVTSP_3_10_1_TW_2,SA,2,5, 12759.24 12759.24 12759.24 12759.24 12759.24,"12759,2","12759,2","8,044",8044
HEVTSP_3_10_1_TW_3,SA,2,5, 12759.24 12759.24 12759.24 12759.24 12759.24,"12759,2","12759,2","3,616",3616
HEVTSP_3_10_1_TW_4,SA,2,5, 12761.67 12764.14 12764.14 12759.24 12759.24,"12759,2","12761,7","13,018","40,61"
HEVTSP_3_10_1_TW_5,SA,2,5, 12759.24 12759.24 12759.24 12759.24 12759.24,"12759,2","12759,2","3,480","3,48"
HEVTSP_3_10_2_TW_0,SA,2,5, 12804.00 12804.00 12804.00 12804.00 12804.00,12804,12804,"9,146",50
HEVTSP_3_10_2_TW_1,SA,2,5, 12804.00 12804.00 12804.00 12804.00 12804.00,12804,12804,"4,515",50
HEVTSP_3_10_2_TW_2,SA,2,5, 12894.19 12894.19 12894.19 12894.19 12894.19,"12894,2","12894,2","3,527",50
HEVTSP_3_10_2_TW_3,SA,2,5, 12804.00 12804.00 12804.00 12804.00 12804.00,12804,12804,"1,977",50
HEVTSP_3_10_2_TW_4,SA,2,5, 12804.00 12804.00 12804.00 12804.00 12804.00,12804,12804,"4,131",50
HEVTSP_3_10_2_TW_5,SA,2,5, 12894.19 12894.19 12894.19 12894.19 12894.19,"12894,2","12894,2","5,420",50
HEVTSP_3_10_3_TW_0,SA,2,5, 12935.96 12935.96 12935.96 12939.53 12935.48,"12935,5","12936,6","26,126",47898
HEVTSP_3_10_3_TW_1,SA,2,5, 12935.48 12935.48 12935.48 12935.48 12935.96,"12935,5","12935,6","16,861",21432
HEVTSP_3_10_3_TW_2,SA,2,5, 12935.48 12935.48 12935.48 12956.79 12935.48,"12935,5","12939,7","10,577",17259
HEVTSP_3_10_3_TW_3,SA,2,5, 12935.48 12935.48 12935.48 12935.48 12935.48,"12935,5","12935,5","12,004",12004
HEVTSP_3_10_3_TW_4,SA,2,5, 12935.48 12935.48 12935.48 12935.48 12935.48,"12935,5","12935,5","9,216",9216
HEVTSP_3_10_3_TW_5,SA,2,5, 12935.48 12935.48 12935.48 12935.48 12935.48,"12935,5","12935,5","14,371",14371
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
HEVTSP_1_10_1_TW_0,SA,2,5, 1798.94 1798.94 1798.94 1798.94 1798.94,"1798,9","1798,9","21,593",21594
HEVTSP_1_10_1_TW_1,SA,2,5, 1798.94 1798.94 1798.94 1798.94 1798.94,"1798,9","1798,9","8,038",8038
HEVTSP_1_10_1_TW_2,SA,2,5, 1801.46 1801.46 1801.46 1801.46 1801.46,"1801,5","1801,5","8,731",8731
HEVTSP_1_10_1_TW_3,SA,2,5, 1798.94 1798.94 1798.94 1798.94 1798.94,"1798,9","1798,9","8,299",8299
HEVTSP_1_10_1_TW_4,SA,2,5, 1798.94 1798.94 1798.94 1798.94 1798.94,"1798,9","1798,9","3,693",3694
HEVTSP_1_10_1_TW_5,SA,2,5, 1801.46 1801.46 1801.46 1801.46 1801.46,"1801,5","1801,5","1,806",1806
HEVTSP_1_10_2_TW_0,SA,2,5, 1598.18 1598.18 1598.18 1598.18 1598.18,"1598,2","1598,2","0,902",902
HEVTSP_1_10_2_TW_1,SA,2,5, 1610.65 1610.65 1610.65 1610.65 1610.65,"1610,6","1610,6","1,142",50
HEVTSP_1_10_2_TW_2,SA,2,5, 1610.65 1610.65 1610.65 1610.65 1610.65,"1610,6","1610,6","0,772",50
HEVTSP_1_10_3_TW_0,SA,2,5, 1478.90 1478.90 1478.90 1478.90 1478.90,"1478,9","1478,9","1,748",1748
HEVTSP_1_10_3_TW_1,SA,2,5, 1531.45 1531.45 1531.45 1531.45 1531.45,"1531,4","1531,4","4,949",4949
HEVTSP_1_10_3_TW_2,SA,2,5, 1531.45 1531.45 1531.45 1531.45 1531.45,"1531,4","1531,4","3,747",3747
HEVTSP_1_10_3_TW_3,SA,2,5, 1531.45 1531.45 1531.45 1531.45 1531.45,"1531,4","1531,4","4,022",4022
HEVTSP_1_10_3_TW_4,SA,2,5, 1531.45 1531.45 1531.45 1531.45 1531.45,"1531,4","1531,4","2,497",2497
HEVTSP_1_10_3_TW_5,SA,2,5, 1531.45 1531.45 1531.45 1531.45 1531.45,"1531,4","1531,4","2,628",2628
HEVTSP_2_10_1_TW_0,SA,2,5, 7332.75 7332.75 7336.17 7332.75 7332.75,"7332,8","7333,4","17,851",50
HEVTSP_2_10_1_TW_1,SA,2,5, 7457.46 7488.59 7482.28 7482.28 7457.46,"7457,5","7473,6","13,799",50
HEVTSP_2_10_1_TW_2,SA,2,5, 7547.29 7547.29 7547.29 7547.29 7547.29,"7547,3","7547,3","2,028",50
HEVTSP_2_10_1_TW_3,SA,2,5, 7349.80 7349.80 7349.80 7349.80 7349.80,"7349,8","7349,8","1,695",50
HEVTSP_2_10_1_TW_4,SA,2,5, 7489.67 7489.67 7489.67 7489.67 7489.67,"7489,7","7489,7","2,540",50
HEVTSP_2_10_2_TW_0,SA,2,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","1,742",1742
HEVTSP_2_10_2_TW_1,SA,2,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","1,191",1191
HEVTSP_2_10_2_TW_2,SA,2,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","0,896",896
HEVTSP_2_10_2_TW_3,SA,2,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","0,910","0,91"
HEVTSP_2_10_2_TW_4,SA,2,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","0,934",934
HEVTSP_2_10_2_TW_5,SA,2,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","0,952",952
HEVTSP_2_10_3_TW_0,SA,2,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","2,263",2263
HEVTSP_2_10_3_TW_1,SA,2,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","2,229",2229
HEVTSP_2_10_3_TW_2,SA,2,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","1,869",1869
HEVTSP_2_10_3_TW_3,SA,2,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","1,371",1371
HEVTSP_2_10_3_TW_4,SA,2,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","1,433",1434
HEVTSP_2_10_3_TW_5,SA,2,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","0,859",859
HEVTSP_3_10_1_TW_0,SA,2,5, 12747.47 12747.47 12747.22 12747.47 12747.47,"12747,2","12747,4","26,893",41579
HEVTSP_3_10_1_TW_1,SA,2,5, 12759.24 12759.24 12759.24 12759.24 12759.24,"12759,2","12759,2","8,159",8159
HEVTSP_3_10_1_TW_2,SA,2,5, 12759.24 12759.24 12759.24 12759.24 12759.24,"12759,2","12759,2","8,044",8044
HEVTSP_3_10_1_TW_3,SA,2,5, 12759.24 12759.24 12759.24 12759.24 12759.24,"12759,2","12759,2","3,616",3616
HEVTSP_3_10_1_TW_4,SA,2,5, 12761.67 12764.14 12764.14 12759.24 12759.24,"12759,2","12761,7","13,018","40,61"
HEVTSP_3_10_1_TW_5,SA,2,5, 12759.24 12759.24 12759.24 12759.24 12759.24,"12759,2","12759,2","3,480","3,48"
HEVTSP_3_10_2_TW_0,SA,2,5, 12804.00 12804.00 12804.00 12804.00 12804.00,12804,12804,"9,146",50
HEVTSP_3_10_2_TW_1,SA,2,5, 12804.00 12804.00 12804.00 12804.00 12804.00,12804,12804,"4,515",50
HEVTSP_3_10_2_TW_2,SA,2,5, 12894.19 12894.19 12894.19 12894.19 12894.19,"12894,2","12894,2","3,527",50
HEVTSP_3_10_2_TW_3,SA,2,5, 12804.00 12804.00 12804.00 12804.00 12804.00,12804,12804,"1,977",50
HEVTSP_3_10_2_TW_4,SA,2,5, 12804.00 12804.00 12804.00 12804.00 12804.00,12804,12804,"4,131",50
HEVTSP_3_10_2_TW_5,SA,2,5, 12894.19 12894.19 12894.19 12894.19 12894.19,"12894,2","12894,2","5,420",50
HEVTSP_3_10_3_TW_0,SA,2,5, 12935.96 12935.96 12935.96 12939.53 12935.48,"12935,5","12936,6","26,126",47898
HEVTSP_3_10_3_TW_1,SA,2,5, 12935.48 12935.48 12935.48 12935.48 12935.96,"12935,5","12935,6","16,861",21432
HEVTSP_3_10_3_TW_2,SA,2,5, 12935.48 12935.48 12935.48 12956.79 12935.48,"12935,5","12939,7","10,577",17259
HEVTSP_3_10_3_TW_3,SA,2,5, 12935.48 12935.48 12935.48 12935.48 12935.48,"12935,5","12935,5","12,004",12004
HEVTSP_3_10_3_TW_4,SA,2,5, 12935.48 12935.48 12935.48 12935.48 12935.48,"12935,5","12935,5","9,216",9216
HEVTSP_3_10_3_TW_5,SA,2,5, 12935.48 12935.48 12935.48 12935.48 12935.48,"12935,5","12935,5","14,371",14371
,,,,,,,,
,,,,,,,"6,47521739130435",
