 Instance     ,Mh,Decoder,Num Runs,Runs,Final objValue,Average objValue,Time Best,Time Total
HEVTSP_1_20_1_TW_0,SA,0,5, 2021.68 2015.99 2015.99 2021.68 2015.99,2016,"2018,3","33,354","100,001"
HEVTSP_1_20_1_TW_1,SA,0,5, 2015.99 2015.99 2021.84 2015.99 2015.99,2016,"2017,2","22,529","100,001"
HEVTSP_1_20_1_TW_2,SA,0,5, 2021.84 2021.84 2021.84 2021.84 2015.99,2016,"2020,7","21,956","100,001"
HEVTSP_1_20_1_TW_3,SA,0,5, 2021.84 2021.84 2015.99 2021.68 2015.99,2016,"2019,5","55,78","100,001"
HEVTSP_1_20_1_TW_4,SA,0,5, 2015.99 2015.99 2015.99 2015.99 2015.99,2016,2016,"41,607","100,001"
HEVTSP_1_20_1_TW_5,SA,0,5, 2015.99 2015.99 2021.84 2021.84 2015.99,2016,"2018,3","40,93","100,001"
HEVTSP_1_20_2_TW_0,SA,0,5, 2014.61 2012.44 2017.30 2012.44 2010.01,2010,"2013,4","35,545","100,001"
HEVTSP_1_20_2_TW_1,SA,0,5, 2004.23 1997.46 2004.26 2010.01 2001.35,"1997,5","2003,5","47,526","100,001"
HEVTSP_1_20_2_TW_2,SA,0,5, 2006.25 2017.97 2038.23 2009.67 2015.93,"2006,3","2017,6","58,538",100
HEVTSP_1_20_2_TW_3,SA,0,5, 2001.88 2005.46 2000.77 2013.72 2007.62,"2000,8","2005,9","44,715",100
HEVTSP_1_20_2_TW_4,SA,0,5, 2004.22 1969.78 2000.32 2002.25 1969.86,"1969,8","1989,3","28,085","82,918"
HEVTSP_1_20_2_TW_5,SA,0,5, 2000.15 1971.60 1999.89 1993.54 2000.24,"1971,6","1993,1","68,343",100
HEVTSP_1_20_3_TW_0,SA,0,5, 1615.68 1606.42 1615.68 1643.08 1615.68,"1606,4","1619,3","57,205","86,881"
HEVTSP_1_20_3_TW_1,SA,0,5, 1606.42 1606.42 1606.42 1606.42 1606.42,"1606,4","1606,4","33,571","33,571"
HEVTSP_1_20_3_TW_2,SA,0,5, 1655.07 1646.65 1650.78 1635.15 1646.65,"1635,1","1646,9","49,79","100,001"
HEVTSP_1_20_3_TW_3,SA,0,5, 1606.42 1606.42 1606.42 1606.42 1606.65,"1606,4","1606,5","30,819","48,468"
HEVTSP_1_20_3_TW_4,SA,0,5, 1606.42 1606.42 1606.42 1609.17 1632.95,"1606,4","1612,3","59,146","79,01"
HEVTSP_1_20_3_TW_5,SA,0,5, 1655.07 1646.82 1646.65 1635.65 1649.02,"1635,6","1646,6","48,067","100,001"
HEVTSP_2_20_1_TW_0,SA,0,5, 7828.66 7856.12 7854.29 7878.64 7852.75,"7828,7","7854,1","40,649",100
HEVTSP_2_20_1_TW_1,SA,0,5, 7812.82 7852.98 7832.61 7822.92 7822.81,"7812,8","7828,8","30,567",100
HEVTSP_2_20_1_TW_2,SA,0,5, 7823.52 7810.82 7823.23 7821.31 7820.73,"7810,8","7819,9","52,693",100
HEVTSP_2_20_1_TW_3,SA,0,5, 7858.71 7823.26 7823.82 7879.38 7895.40,"7823,3","7856,1","49,353",100
HEVTSP_2_20_1_TW_4,SA,0,5, 7825.16 7823.62 7824.45 7859.51 7827.64,"7823,6","7832,1","47,687",100
HEVTSP_2_20_1_TW_5,SA,0,5, 7823.26 7807.05 7822.81 7812.56 7813.07,"7807,1","7815,8","44,148","83,373"
HEVTSP_2_20_2_TW_0,SA,0,5, 7728.78 7698.76 7702.80 7708.94 7720.66,"7698,8",7712,"48,598",100
HEVTSP_2_20_2_TW_1,SA,0,5, 7686.60 7698.70 7697.95 7691.98 7682.34,"7682,3","7691,5","72,379",100
HEVTSP_2_20_2_TW_2,SA,0,5, 7698.05 7694.69 7693.11 7693.15 7695.63,"7693,1","7694,9","51,176",100
HEVTSP_2_20_2_TW_3,SA,0,5, 7706.45 7698.22 7708.10 7697.04 7697.22,7697,"7701,4","39,821",100
HEVTSP_2_20_2_TW_4,SA,0,5, 7688.85 7698.41 7696.22 7693.90 7687.65,"7687,6",7693,"57,59",100
HEVTSP_2_20_2_TW_5,SA,0,5, 7694.67 7694.67 7689.26 7681.92 7696.09,"7681,9","7691,3","62,899",100
HEVTSP_2_20_3_TW_0,SA,0,5, 7755.26 7775.69 7739.28 7742.07 7755.30,"7739,3","7753,5","41,715",100
HEVTSP_2_20_3_TW_1,SA,0,5, 7739.63 7744.61 7742.86 7743.01 7722.18,"7722,2","7738,5","51,315",100
HEVTSP_2_20_3_TW_2,SA,0,5, 7743.76 7737.09 7740.73 7729.46 7727.24,"7727,2","7735,7","56,608",100
HEVTSP_2_20_3_TW_3,SA,0,5, 7748.74 7766.74 7761.82 7744.94 7746.09,"7744,9","7753,7","68,988",100
HEVTSP_2_20_3_TW_4,SA,0,5, 7738.51 7741.36 7734.02 7737.77 7736.77,7734,"7737,7","53,683",100
HEVTSP_2_20_3_TW_5,SA,0,5, 7732.35 7737.09 7736.72 7740.73 7722.18,"7722,2","7733,8","49,799",100
HEVTSP_3_20_1_TW_0,SA,0,5, 13414.42 13421.04 13398.81 13387.97 13481.53,13388,"13420,8","62,591",100
HEVTSP_3_20_1_TW_1,SA,0,5, 13418.44 13409.50 13366.96 13364.42 13403.07,"13364,4","13392,5","44,412",100
