 Instance  Mh  Decoder  Num Runs                        Runs                     Final objValue  Average objValue  Time Best  Time Total 

HEVTSP_2_50_3_TW_5	SA	0	5	 6138271.63 6810737.35 5410884.56 6449888.06 7331231.72	    5410884.6	6428202.7	    128.205	    250.008
HEVTSP_3_50_1_TW_0	SA	0	5	 17144.41 17795.54 17771.50 17802.18 18055.77	            17144.4	    17713.9	        79.301	    250.001
HEVTSP_3_50_1_TW_1	SA	0	5	 19460.71 18767.86 20493.43 1020990.03 1024564.29	        18767.9	    420855.3	    97.986	    250.001

-------------------------------------------------------------------------------------------------------------------------------------------
                        Segunda Tentativa de Execução - MAX_TIME = 500
-------------------------------------------------------------------------------------------------------------------------------------------
 Instance  Mh  Decoder  Num Runs                        Runs                     Final objValue  Average objValue  Time Best  Time Total 

HEVTSP_1_50_1_TW_0	SA	0	5	 3152.10 3184.72 3192.53 3151.59 3186.50	                3151.6	        3173.5	        165.055	    500.006
HEVTSP_1_50_1_TW_1	SA	0	5	 3251.96 3508.24 3590.69 3327.98 3568.71	                3252.0	        3449.5	        240.812	    500.003
HEVTSP_1_50_1_TW_2	SA	0	5	 3378.14 3131.28 1016728.04 1007614.13 1007526.12	        3131.3	        607675.5	    164.113	    500.007
HEVTSP_1_50_1_TW_3	SA	0	5	 3149.23 3257.49 3166.32 3275.21 3166.88	                3149.2	        3203.0	        174.174	    500.010
HEVTSP_1_50_1_TW_4	SA	0	5	 4069.56 1022832.66 1653777.68 1167469.52 1537770.35	    4069.6	        1077184.0	    210.205	    500.004
HEVTSP_1_50_1_TW_5	SA	0	5	 1545870.76 1549975.72 1019762.38 1622358.27 1456274.57	    1019762.4	    1438848.3	    382.102	    500.006
HEVTSP_1_50_2_TW_0	SA	0	5	 2967.46 2946.38 2892.12 2888.16 2931.99	                2888.2	        2925.2	        164.468	    500.004
HEVTSP_1_50_2_TW_1	SA	0	5	 2994.45 2979.75 2895.69 3081.99 3044.20	                2895.7	        2999.2	        221.508	    500.005
HEVTSP_1_50_2_TW_2	SA	0	5	 1004544.54 1004585.05 3096.06 1008562.82 1004085.22	    3096.1	        804974.7	    231.481	    500.004
HEVTSP_1_50_2_TW_3	SA	0	5	 2903.30 2909.07 2889.23 2882.32 2947.13	                2882.3	        2906.2	        165.334	    500.005
