 Instance     ,Mh,Decoder,Num Runs,Runs,Final objValue,Average objValue,Time Best,Time Total
HEVTSP_1_10_1_TW_0,SA,1,5, 1798.94 1798.94 1798.94 1798.94 1798.94,"1798,9","1798,9","17,976",17976
HEVTSP_1_10_1_TW_1,SA,1,5, 1798.94 1798.94 1798.94 1798.94 1798.94,"1798,9","1798,9","3,976",3976
HEVTSP_1_10_1_TW_2,SA,1,5, 1801.46 1801.46 1801.46 1801.46 1801.46,"1801,5","1801,5","7,625",7625
HEVTSP_1_10_1_TW_3,SA,1,5, 1798.94 1798.94 1798.94 1798.94 1798.94,"1798,9","1798,9","1,799",1799
HEVTSP_1_10_1_TW_4,SA,1,5, 1798.94 1798.94 1798.94 1798.94 1798.94,"1798,9","1798,9","2,994",2995
HEVTSP_1_10_1_TW_5,SA,1,5, 1801.46 1801.46 1801.46 1801.46 1801.46,"1801,5","1801,5","3,479",3479
HEVTSP_1_10_2_TW_0,SA,1,5, 1598.18 1598.18 1598.18 1598.18 1598.18,"1598,2","1598,2","0,517",518
HEVTSP_1_10_2_TW_1,SA,1,5, 1601.73 1601.73 1601.73 1601.73 1601.73,"1601,7","1601,7","0,711",711
HEVTSP_1_10_2_TW_2,SA,1,5, 1601.73 1601.73 1601.73 1601.73 1601.73,"1601,7","1601,7","0,272",272
HEVTSP_1_10_2_TW_3,SA,1,5, 1601.73 1601.73 1601.73 1601.73 1601.73,"1601,7","1601,7","0,275",275
HEVTSP_1_10_2_TW_4,SA,1,5, 1601.73 1601.73 1601.73 1601.73 1601.73,"1601,7","1601,7","0,263",263
HEVTSP_1_10_2_TW_5,SA,1,5, 1601.73 1601.73 1601.73 1601.73 1601.73,"1601,7","1601,7","0,338",338
HEVTSP_1_10_3_TW_0,SA,1,5, 1478.90 1478.90 1478.90 1478.90 1478.90,"1478,9","1478,9","2,347",2347
HEVTSP_1_10_3_TW_1,SA,1,5, 1531.45 1531.45 1531.45 1531.45 1531.45,"1531,4","1531,4","0,409",409
HEVTSP_1_10_3_TW_2,SA,1,5, 1531.45 1531.45 1531.45 1531.45 1531.45,"1531,4","1531,4","0,723",723
HEVTSP_1_10_3_TW_3,SA,1,5, 1531.45 1531.45 1531.45 1531.45 1531.45,"1531,4","1531,4","0,791",791
HEVTSP_1_10_3_TW_4,SA,1,5, 1531.45 1531.45 1531.45 1531.45 1531.45,"1531,4","1531,4","3,538",3538
HEVTSP_1_10_3_TW_5,SA,1,5, 1531.45 1531.45 1531.45 1531.45 1531.45,"1531,4","1531,4","3,005",3005
HEVTSP_2_10_1_TW_0,SA,1,5, 7308.15 7308.15 7308.15 7308.15 7308.15,"7308,2","7308,1","0,366",366
HEVTSP_2_10_1_TW_1,SA,1,5, 7314.32 7314.32 7314.32 7314.32 7314.32,"7314,3","7314,3","4,853",4853
HEVTSP_2_10_1_TW_2,SA,1,5, 7329.18 7329.18 7329.18 7329.18 7329.18,"7329,2","7329,2","2,528",2528
HEVTSP_2_10_1_TW_3,SA,1,5, 7314.32 7314.32 7314.32 7314.32 7314.32,"7314,3","7314,3","2,945",2945
HEVTSP_2_10_1_TW_4,SA,1,5, 7314.32 7314.32 7314.32 7314.32 7314.32,"7314,3","7314,3","0,515",515
HEVTSP_2_10_1_TW_5,SA,1,5, 7329.18 7329.18 7329.18 7329.18 7329.18,"7329,2","7329,2","0,493",493
HEVTSP_2_10_2_TW_0,SA,1,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","0,264",264
HEVTSP_2_10_2_TW_1,SA,1,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","0,263",263
HEVTSP_2_10_2_TW_2,SA,1,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","0,324",324
HEVTSP_2_10_2_TW_3,SA,1,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","0,277",277
HEVTSP_2_10_2_TW_4,SA,1,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","0,274",275
HEVTSP_2_10_2_TW_5,SA,1,5, 7362.93 7362.93 7362.93 7362.93 7362.93,"7362,9","7362,9","0,493",494
HEVTSP_2_10_3_TW_0,SA,1,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","15,922",15922
HEVTSP_2_10_3_TW_1,SA,1,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","7,358",7358
HEVTSP_2_10_3_TW_2,SA,1,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","8,401",8401
HEVTSP_2_10_3_TW_3,SA,1,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","12,253",12253
HEVTSP_2_10_3_TW_4,SA,1,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","3,786",3786
HEVTSP_2_10_3_TW_5,SA,1,5, 7290.82 7290.82 7290.82 7290.82 7290.82,"7290,8","7290,8","2,363",2363
HEVTSP_3_10_1_TW_0,SA,1,5, 12747.22 12747.47 12747.22 12747.22 12747.22,"12747,2","12747,3","14,463",24412
HEVTSP_3_10_1_TW_1,SA,1,5, 12759.24 12759.24 12759.24 12759.24 12759.24,"12759,2","12759,2","1,225",1225
HEVTSP_3_10_1_TW_2,SA,1,5, 12759.24 12759.24 12759.24 12759.24 12759.24,"12759,2","12759,2","0,838",839
HEVTSP_3_10_1_TW_3,SA,1,5, 12759.24 12759.24 12759.24 12759.24 12759.24,"12759,2","12759,2","1,555",1555
HEVTSP_3_10_1_TW_4,SA,1,5, 12759.24 12759.24 12759.24 12759.24 12759.24,"12759,2","12759,2","2,011",2011
HEVTSP_3_10_1_TW_5,SA,1,5, 12759.24 12759.24 12759.24 12759.24 12759.24,"12759,2","12759,2","0,592",592
HEVTSP_3_10_2_TW_0,SA,1,5, 12725.88 12725.88 12725.88 12725.88 12725.88,"12725,9","12725,9","2,425",2425
HEVTSP_3_10_2_TW_1,SA,1,5, 12738.38 12738.38 12738.38 12738.38 12738.38,"12738,4","12738,4","0,975",975
HEVTSP_3_10_2_TW_2,SA,1,5, 12738.38 12738.38 12738.38 12738.38 12738.38,"12738,4","12738,4","0,461",462
HEVTSP_3_10_2_TW_3,SA,1,5, 12738.38 12738.38 12738.38 12738.38 12738.38,"12738,4","12738,4","1,908",1908
HEVTSP_3_10_2_TW_4,SA,1,5, 12738.38 12738.38 12738.38 12738.38 12738.38,"12738,4","12738,4","0,607",607
HEVTSP_3_10_2_TW_5,SA,1,5, 12738.38 12738.38 12738.38 12738.38 12738.38,"12738,4","12738,4","0,384",384
HEVTSP_3_10_3_TW_0,SA,1,5, 12935.48 12935.48 12935.48 12935.96 12935.48,"12935,5","12935,6","10,224",15813
HEVTSP_3_10_3_TW_1,SA,1,5, 12935.48 12935.96 12935.48 12935.48 12935.48,"12935,5","12935,6","10,157",14052
HEVTSP_3_10_3_TW_2,SA,1,5, 12935.48 12935.48 12935.48 12935.48 12935.48,"12935,5","12935,5","4,539",4539
HEVTSP_3_10_3_TW_3,SA,1,5, 12935.48 12935.48 12935.48 12935.48 12935.48,"12935,5","12935,5","8,601",8601
HEVTSP_3_10_3_TW_4,SA,1,5, 12935.48 12935.48 12935.48 12935.48 12935.48,"12935,5","12935,5","2,411",2412
HEVTSP_3_10_3_TW_5,SA,1,5, 12935.48 12935.48 12935.48 12935.48 12935.48,"12935,5","12935,5","7,407",7407
,,,,,,,,
,,,,,,,,
,,,,,,,"3,43516666666667",
