 Instance     ,Mh,Decoder,Num Runs,Runs,Final objValue,Average objValue,Time Best,Time Total
HEVTSP_1_08_1_TW_0,SA,0,5, 1837.70 1837.70 1837.70 1837.70 1837.70,"1837,7","1837,7","0,249",40
HEVTSP_1_08_1_TW_1,SA,0,5, 1849.37 1849.37 1849.37 1849.37 1849.37,"1849,4","1849,4","0,863",863
HEVTSP_1_08_1_TW_2,SA,0,5, 1849.37 1849.37 1849.37 1849.37 1849.37,"1849,4","1849,4","0,842",842
HEVTSP_1_08_1_TW_3,SA,0,5, 1849.37 1849.37 1849.37 1849.37 1849.37,"1849,4","1849,4","0,273",273
HEVTSP_1_08_1_TW_4,SA,0,5, 1849.37 1849.37 1849.37 1849.37 1849.37,"1849,4","1849,4","0,507",507
HEVTSP_1_08_1_TW_5,SA,0,5, 1849.37 1849.37 1849.37 1849.37 1849.37,"1849,4","1849,4","0,772",772
HEVTSP_1_08_2_TW_0,SA,0,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,247",247
HEVTSP_1_08_2_TW_1,SA,0,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,257",257
HEVTSP_1_08_2_TW_2,SA,0,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,278",278
HEVTSP_1_08_2_TW_3,SA,0,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,373",373
HEVTSP_1_08_2_TW_4,SA,0,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,278",278
HEVTSP_1_08_2_TW_5,SA,0,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,149",149
HEVTSP_1_08_3_TW_0,SA,0,5, 1445.89 1445.89 1445.89 1445.89 1445.89,"1445,9","1445,9","0,268",40
HEVTSP_1_08_3_TW_1,SA,0,5, 1445.89 1445.89 1445.89 1445.89 1445.89,"1445,9","1445,9","0,32",40
HEVTSP_1_08_3_TW_2,SA,0,5, 1460.31 1460.31 1460.31 1460.31 1460.31,"1460,3","1460,3","0,276",277
HEVTSP_1_08_3_TW_3,SA,0,5, 1460.07 1460.07 1460.07 1460.07 1460.07,"1460,1","1460,1","0,163",40
HEVTSP_1_08_3_TW_4,SA,0,5, 1460.07 1460.07 1460.07 1460.07 1460.07,"1460,1","1460,1","0,229",40
HEVTSP_1_08_3_TW_5,SA,0,5, 1460.31 1460.31 1460.31 1460.31 1460.31,"1460,3","1460,3","0,176",176
