 Instance     ,Mh,Decoder,Num Runs,Runs,Final objValue,Average objValue,Time Best,Time Total
HEVTSP_1_08_1_TW_0,SA,2,5, 1837.70 1837.70 1837.70 1837.70 1837.70,"1837,7","1837,7","0,639",40
HEVTSP_1_08_1_TW_1,SA,2,5, 1849.37 1849.37 1849.37 1849.37 1849.37,"1849,4","1849,4","0,603","0,603"
HEVTSP_1_08_1_TW_2,SA,2,5, 1849.37 1849.37 1849.37 1849.37 1849.37,"1849,4","1849,4","0,793","0,793"
HEVTSP_1_08_1_TW_3,SA,2,5, 1849.37 1849.37 1849.37 1849.37 1849.37,"1849,4","1849,4","0,463","0,463"
HEVTSP_1_08_1_TW_4,SA,2,5, 1849.37 1849.37 1849.37 1849.37 1849.37,"1849,4","1849,4","0,253","0,253"
HEVTSP_1_08_1_TW_5,SA,2,5, 1849.37 1849.37 1849.37 1849.37 1849.37,"1849,4","1849,4","0,348","0,348"
HEVTSP_1_08_2_TW_0,SA,2,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,564","0,564"
HEVTSP_1_08_2_TW_1,SA,2,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,377","0,378"
HEVTSP_1_08_2_TW_2,SA,2,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,391","0,391"
HEVTSP_1_08_2_TW_3,SA,2,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,351","0,351"
HEVTSP_1_08_2_TW_4,SA,2,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,477","0,477"
HEVTSP_1_08_2_TW_5,SA,2,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,21","0,21"
HEVTSP_1_08_3_TW_0,SA,2,5, 1445.89 1445.89 1445.89 1445.89 1445.89,"1445,9","1445,9","0,587",40
HEVTSP_1_08_3_TW_1,SA,2,5, 1445.89 1445.89 1445.89 1445.89 1445.89,"1445,9","1445,9","0,753",40
HEVTSP_1_08_3_TW_2,SA,2,5, 1460.31 1460.31 1460.31 1460.31 1460.31,"1460,3","1460,3","0,195","0,195"
HEVTSP_1_08_3_TW_3,SA,2,5, 1460.07 1460.07 1460.07 1460.07 1460.07,"1460,1","1460,1","0,336",40
HEVTSP_1_08_3_TW_4,SA,2,5, 1460.07 1460.07 1460.07 1460.07 1460.07,"1460,1","1460,1","0,655",40
HEVTSP_1_08_3_TW_5,SA,2,5, 1460.31 1460.31 1460.31 1460.31 1460.31,"1460,3","1460,3","0,215","0,215"
HEVTSP_2_08_1_TW_0,SA,2,5, 7189.85 7189.85 7189.85 7189.85 7189.85,"7189,9","7189,9","0,609","0,609"
HEVTSP_2_08_1_TW_1,SA,2,5, 7189.85 7189.85 7189.85 7189.85 7189.85,"7189,9","7189,9","0,767","0,768"
HEVTSP_2_08_1_TW_2,SA,2,5, 7189.85 7189.85 7189.85 7189.85 7189.85,"7189,9","7189,9","0,579","0,58"
HEVTSP_2_08_1_TW_3,SA,2,5, 7202.07 7202.07 7202.07 7202.07 7202.07,"7202,1","7202,1","0,58","0,58"
HEVTSP_2_08_1_TW_4,SA,2,5, 7202.07 7202.07 7202.07 7202.07 7202.07,"7202,1","7202,1","0,578","0,578"
HEVTSP_2_08_1_TW_5,SA,2,5, 7202.07 7202.07 7202.07 7202.07 7202.07,"7202,1","7202,1","0,324","0,324"
HEVTSP_2_08_2_TW_0,SA,2,5, 7140.95 7140.95 7140.95 7140.95 7140.95,"7140,9","7140,9","0,562","0,562"
HEVTSP_2_08_2_TW_1,SA,2,5, 7174.85 7174.85 7174.85 7174.85 7174.85,"7174,9","7174,9","0,602","0,602"
HEVTSP_2_08_2_TW_2,SA,2,5, 7174.85 7174.85 7174.85 7174.85 7174.85,"7174,9","7174,9","0,571","0,571"
HEVTSP_2_08_2_TW_3,SA,2,5, 7174.85 7174.85 7174.85 7174.85 7174.85,"7174,9","7174,9","0,546","0,546"
HEVTSP_2_08_2_TW_4,SA,2,5, 7174.85 7174.85 7174.85 7174.85 7174.85,"7174,9","7174,9","0,578","0,579"
HEVTSP_2_08_2_TW_5,SA,2,5, 7174.85 7174.85 7174.85 7174.85 7174.85,"7174,9","7174,9","0,428","0,428"
HEVTSP_2_08_3_TW_0,SA,2,5, 7292.25 7292.25 7292.25 7292.25 7292.25,"7292,2","7292,2","0,579","0,579"
HEVTSP_2_08_3_TW_1,SA,2,5, 7292.25 7292.25 7292.25 7292.25 7292.25,"7292,2","7292,2","0,568","0,568"
HEVTSP_2_08_3_TW_2,SA,2,5, 7292.25 7292.25 7292.25 7292.25 7292.25,"7292,2","7292,2","0,465","0,465"
HEVTSP_2_08_3_TW_3,SA,2,5, 7292.25 7292.25 7292.25 7292.25 7292.25,"7292,2","7292,2","0,562","0,562"
HEVTSP_2_08_3_TW_4,SA,2,5, 7292.25 7292.25 7292.25 7292.25 7292.25,"7292,2","7292,2","0,363","0,364"
HEVTSP_2_08_3_TW_5,SA,2,5, 7292.25 7292.25 7292.25 7292.25 7292.25,"7292,2","7292,2","0,285","0,285"
HEVTSP_3_08_1_TW_0,SA,2,5, 12706.60 12706.60 12706.60 12706.60 12706.60,"12706,6","12706,6","0,677","0,677"
HEVTSP_3_08_1_TW_1,SA,2,5, 12706.60 12706.60 12706.60 12706.60 12706.60,"12706,6","12706,6","0,602","0,602"
HEVTSP_3_08_1_TW_2,SA,2,5, 12724.75 12724.75 12724.75 12724.75 12724.75,"12724,8","12724,8","0,534","0,534"
HEVTSP_3_08_1_TW_3,SA,2,5, 12706.60 12706.60 12706.60 12706.60 12706.60,"12706,6","12706,6","0,582","0,582"
HEVTSP_3_08_1_TW_4,SA,2,5, 12706.60 12706.60 12706.60 12706.60 12706.60,"12706,6","12706,6","0,612","0,612"
HEVTSP_3_08_1_TW_5,SA,2,5, 12724.75 12724.75 12724.75 12724.75 12724.75,"12724,8","12724,8","0,261","0,261"
HEVTSP_3_08_2_TW_0,SA,2,5, 12687.90 12687.90 12687.90 12687.90 12687.90,"12687,9","12687,9","6,144","6,144"
HEVTSP_3_08_2_TW_1,SA,2,5, 12712.96 12712.96 12712.96 12712.96 12712.96,12713,12713,"1,282","1,282"
HEVTSP_3_08_2_TW_2,SA,2,5, 12712.96 12712.96 12712.96 12712.96 12712.96,12713,12713,"0,914","0,914"
HEVTSP_3_08_2_TW_3,SA,2,5, 12712.96 12712.96 12712.96 12712.96 12712.96,12713,12713,"0,945","0,945"
HEVTSP_3_08_2_TW_4,SA,2,5, 12712.96 12712.96 12712.96 12712.96 12712.96,12713,12713,"0,778","0,779"
HEVTSP_3_08_2_TW_5,SA,2,5, 12712.96 12712.96 12712.96 12712.96 12712.96,12713,12713,"0,244","0,244"
HEVTSP_3_08_3_TW_0,SA,2,5, 12708.57 12708.57 12708.57 12708.57 12708.57,"12708,6","12708,6","1,029","1,029"
HEVTSP_3_08_3_TW_1,SA,2,5, 12708.57 12708.57 12708.57 12708.57 12708.57,"12708,6","12708,6","0,753","0,753"
HEVTSP_3_08_3_TW_2,SA,2,5, 12738.05 12738.05 12738.05 12738.05 12738.05,12738,12738,"0,925","0,925"
HEVTSP_3_08_3_TW_3,SA,2,5, 12738.05 12738.05 12738.05 12738.05 12738.05,12738,12738,"5,414","5,414"
HEVTSP_3_08_3_TW_4,SA,2,5, 12738.05 12738.05 12738.05 12738.05 12738.05,12738,12738,"1,993","1,993"
HEVTSP_3_08_3_TW_5,SA,2,5, 12738.05 12738.05 12738.05 12738.05 12738.05,12738,12738,"6,774","6,775"
