 Instance     ,Mh,Decoder,Num Runs,Runs,Final objValue,Average objValue,Time Best,Time Total
HEVTSP_1_08_1_TW_0,SA,1,5, 1830.69 1830.69 1830.69 1830.69 1830.69,"1830,7","1830,7","0,624","0,624"
HEVTSP_1_08_1_TW_1,SA,1,5, 1849.37 1849.37 1849.37 1849.37 1849.37,"1849,4","1849,4","0,215","0,215"
HEVTSP_1_08_1_TW_2,SA,1,5, 1849.37 1849.37 1849.37 1849.37 1849.37,"1849,4","1849,4","0,223","0,223"
HEVTSP_1_08_1_TW_3,SA,1,5, 1849.37 1849.37 1849.37 1849.37 1849.37,"1849,4","1849,4","0,193","0,194"
HEVTSP_1_08_1_TW_4,SA,1,5, 1849.37 1849.37 1849.37 1849.37 1849.37,"1849,4","1849,4","0,217","0,217"
HEVTSP_1_08_1_TW_5,SA,1,5, 1849.37 1849.37 1849.37 1849.37 1849.37,"1849,4","1849,4","0,136","0,136"
HEVTSP_1_08_2_TW_0,SA,1,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,208","0,208"
HEVTSP_1_08_2_TW_1,SA,1,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,209","0,209"
HEVTSP_1_08_2_TW_2,SA,1,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,214","0,214"
HEVTSP_1_08_2_TW_3,SA,1,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,214","0,214"
HEVTSP_1_08_2_TW_4,SA,1,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,214","0,214"
HEVTSP_1_08_2_TW_5,SA,1,5, 1553.15 1553.15 1553.15 1553.15 1553.15,"1553,1","1553,1","0,2","0,2"
HEVTSP_1_08_3_TW_0,SA,1,5, 1435.74 1435.74 1435.74 1435.74 1435.74,"1435,7","1435,7","0,215","0,215"
HEVTSP_1_08_3_TW_1,SA,1,5, 1436.09 1436.09 1436.09 1436.09 1436.09,"1436,1","1436,1","0,378","0,378"
HEVTSP_1_08_3_TW_2,SA,1,5, 1460.31 1460.31 1460.31 1460.31 1460.31,"1460,3","1460,3","0,224","0,224"
HEVTSP_1_08_3_TW_3,SA,1,5, 1436.09 1436.09 1436.09 1436.09 1436.09,"1436,1","1436,1","0,266","0,266"
HEVTSP_1_08_3_TW_4,SA,1,5, 1436.09 1436.09 1436.09 1436.09 1436.09,"1436,1","1436,1","0,395","0,395"
HEVTSP_1_08_3_TW_5,SA,1,5, 1460.31 1460.31 1460.31 1460.31 1460.31,"1460,3","1460,3","0,163","0,163"
HEVTSP_2_08_1_TW_0,SA,1,5, 7189.85 7189.85 7189.85 7189.85 7189.85,"7189,9","7189,9","0,687","0,687"
HEVTSP_2_08_1_TW_1,SA,1,5, 7189.85 7189.85 7189.85 7189.85 7189.85,"7189,9","7189,9","0,214","0,214"
HEVTSP_2_08_1_TW_2,SA,1,5, 7189.85 7189.85 7189.85 7189.85 7189.85,"7189,9","7189,9","0,196","0,196"
HEVTSP_2_08_1_TW_3,SA,1,5, 7202.07 7202.07 7202.07 7202.07 7202.07,"7202,1","7202,1","0,212","0,212"
HEVTSP_2_08_1_TW_4,SA,1,5, 7202.07 7202.07 7202.07 7202.07 7202.07,"7202,1","7202,1","0,216","0,216"
HEVTSP_2_08_1_TW_5,SA,1,5, 7202.07 7202.07 7202.07 7202.07 7202.07,"7202,1","7202,1","0,212","0,212"
HEVTSP_2_08_2_TW_0,SA,1,5, 7140.95 7140.95 7140.95 7140.95 7140.95,"7140,9","7140,9","0,208","0,208"
